매입품목명,라인수,금액,items후보(참고),최종지정코드(빈칸=기타)
울트라 칼라시트-(내부용) SC-2701 [100폭/흰색/무광],1,80500,,
까치발 [400mm],1,79800,ACC-029-BK:까치발 흑색 / ACC-029-WH:까치발 백색,
돼지표본드 [3kg],1,78900,SGM-PBOND:돼지표본드,
까치발 [1400mm],1,78000,ACC-029-BK:까치발 흑색 / ACC-029-WH:까치발 백색,
채널바 옆마구리 [200mm*100mm/백색],2,76500,SGM-CSM-R150-BK:채널바 옆마구리 150mm 흑 / SGM-CSM-R150-WH:채널바 옆마구리 150mm 백,
45도 보강대 [1box-1000ea],1,75000,,
발통-700 [1box=5ea],1,73750,SGM-FOOT-F700:발통 700mm,
직결피스 [1box-12000ea],1,73200,SGM-SCREW:직결피스,
쌍클립,1,72000,ACC-048:쌍클립,
후판 [120cm],1,72000,,
까치발 [300mm],1,70800,ACC-029-BK:까치발 흑색 / ACC-029-WH:까치발 백색,
빅폴 SET [150*140~240],1,70000,ACC-025:빅폴 SET,
프레임타카핀 710,1,68000,SGM-TACK-T4:타카핀 4mm / SGM-TACK-T6:타카핀 6mm,
발통-400 [1box=6ea],1,67260,SGM-FOOT-F400:발통 400mm,
까치발 [1900mm],1,66100,ACC-029-BK:까치발 흑색 / ACC-029-WH:까치발 백색,
트러스바 보강대 [200mm],1,66000,SGM-TRW-BK:트러스바 날개 흑색 / SGM-TRW-WH:트러스바 날개 백색,
무광인화지 [127폭],1,65000,PJ-MUINH:무광인화지,
경동화물,2,62000,,
아일렛(하도매) [24호/금색],1,61000,ACC-045-5-S:아일렛 5호 은 / ACC-045-5-G:아일렛 5호 금,
하코너,1,60000,SGM-HC:하코너,
후판 [100cm],1,60000,,
까치발 [1700mm],1,59600,ACC-029-BK:까치발 흑색 / ACC-029-WH:까치발 백색,
스텐원형돌출 [600Φ],1,59500,SGM-SRND-D500:스텐원형돌출 500Φ / SGM-SRND-D600:스텐원형돌출 600Φ,
도안지 [125폭],1,58000,RM-DOAN:도안지,
채널바 옆마구리 [300mm*100mm/검정],1,56000,SGM-CSM-R150-BK:채널바 옆마구리 150mm 흑 / SGM-CSM-R150-WH:채널바 옆마구리 150mm 백,
스카시10T-검정,1,54650,UV-SKS-10T-W:UV 스카시 10T 백색 / UV-SKS-10T-B:UV 스카시 10T 검정,
고무자석시트-일반(0.8T) [60폭/10m],1,53000,MAG-060:고무자석시트 / MAG-100:고무자석시트,
까치발 [700mm],1,50550,ACC-029-BK:까치발 흑색 / ACC-029-WH:까치발 백색,
앙고리폴대,1,50000,,
채널바 옆마구리 [250mm*100mm/백색],1,49000,SGM-CSM-R150-BK:채널바 옆마구리 150mm 흑 / SGM-CSM-R150-WH:채널바 옆마구리 150mm 백,
트러스바 옆마구리 [200mm*113mm/백색],1,49000,SGM-TRW-BK:트러스바 날개 흑색 / SGM-TRW-WH:트러스바 날개 백색,
투광기 파이프-ㅡ자형/검정 [700mm],1,48000,SGM-PPIPE-PW:투광기 파이프 백색 / SGM-PPIPE-PB:투광기 파이프 검정,
인두기(열재단) [나무손잡이],1,45000,GDS-INDUGI:인두기(열재단),
