매입품목명,라인수,금액,상태,제안코드,최종지정코드
채널바 옆마구리 [200mm*100mm/검정],1,45000,미매칭,,,
실리콘 [투명],1,42500,미매칭,,,
아일렛(하도매) [5호/은색],2,42000,미매칭,,,
패트배너(30m)-잉크테크 [127폭],1,40000,후보(잉크→RM),RM,,
채널바 옆마구리 [400mm*100mm/검정],1,38500,미매칭,,,
사각족자봉 마개 [그레이],1,35000,미매칭,,,
원형나무 [70폭(20mm)],2,31000,미매칭,,,
폼보드 [4*8(5T)],1,28500,미매칭,,,
하도매 기계(손기계) [수동],1,28000,미매칭,,,
잉크(K) [1리터],1,27000,후보(잉크→RM),RM,,
채널바 옆마구리 [200mm*100mm/연회색],1,22500,미매칭,,,
채널바 옆마구리 [150mm*100mm/백색],1,20500,미매칭,,,
채널바 옆마구리 [150mm*100mm/연회색],1,20500,미매칭,,,
하도매 자동몰드 [24호(12파이)],1,20000,미매칭,,,
자동몰드 [9호],1,19000,미매칭,,,
사각족자봉 [94cm],1,17000,미매칭,,,
족자봉 고리,1,12500,미매칭,,,
대신화물,1,12000,미매칭,,,
원형족자봉 마개/은색 [16Ø],1,10800,미매칭,,,
무광 코팅지 자동용(45m/120g)-호홍 [90폭(교환)],1,0,미매칭,,,
무광 코팅지 자동용(45m/180g)-호홍 [90폭(반품)],1,0,미매칭,,,
원형족자봉(고리가 안들어가요 교환해주세요) [21Ø],1,0,미매칭,,,
채널바 옆마구리/미사용 반품 [200mm*113mm/백색],1,-49000,미매칭,,,
PVC(켈)-프라임 [60폭],2,-117150,미매칭,,,
알마이트2T-검정,1,-990000,미매칭,,,
