품목코드,품목명,카테고리,유형,방식,단위,활성,판매이력라인,원가(avg_unit_cost),참조마진,마진출처,마진IQR,제안가(원가×마진 100원반올림)
ACC-029-1800,까치발 1800mm,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
ACC-029-1900,까치발 1900mm,상품,GOODS,FIXED,EA,,0,6610,1.67,"카테고리(상품, n=34)",1.47~1.79,11100
ACC-029-2000,까치발 2000mm,상품,GOODS,FIXED,EA,,1,0,,원가 없음(매입이력 0),,
ACC-029-350,까치발 350mm,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
ACC-029-400,까치발 400mm,상품,GOODS,FIXED,EA,,2,2660,1.67,"카테고리(상품, n=34)",1.47~1.79,4400
ACC-029-500,까치발 500mm,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
ACC-029-600,까치발 600mm,상품,GOODS,FIXED,EA,,3,3190,1.67,"카테고리(상품, n=34)",1.47~1.79,5300
ACC-029-700,까치발 700mm,상품,GOODS,FIXED,EA,,2,3370,1.67,"카테고리(상품, n=34)",1.47~1.79,5600
ACC-029-BK,까치발 흑색,상품,GOODS,FIXED,EA,비활성,0,3801.27,1.67,"카테고리(상품, n=34)",1.47~1.79,6400
ACC-029-PT,까치발 도색,상품,GOODS,FIXED,EA,비활성,0,0,,원가 없음(매입이력 0),,
ACC-029-WH,까치발 백색,상품,GOODS,FIXED,EA,비활성,0,0,,원가 없음(매입이력 0),,
ACC-030-R120-3,가로기 깃대(조립) R120 3구,상품,GOODS,FIXED,EA,,0,1109,1.67,"카테고리(상품, n=34)",1.47~1.79,1900
ACC-030-R130-3,가로기 깃대(조립) R130 3구,상품,GOODS,FIXED,EA,,4,1201,1.67,"카테고리(상품, n=34)",1.47~1.79,2000
ACC-034,깃대(기타),상품,GOODS,FIXED,EA,,8,11000,1.67,"카테고리(상품, n=34)",1.47~1.79,18400
ACC-035-P-2,깃대 꽂이 P형 2구,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
ACC-035-R-1,깃대 꽂이 R형 1구,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
ACC-035-R-2,깃대 꽂이 R형 2구,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
ACC-036,수기대(깃대),상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
ACC-036-L40,수기대(깃대) 40cm,상품,GOODS,FIXED,EA,,0,46,1.67,"카테고리(상품, n=34)",1.47~1.79,100
ACC-036-L50,수기대(깃대) 50cm,상품,GOODS,FIXED,EA,,0,58,1.67,"카테고리(상품, n=34)",1.47~1.79,100
ACC-036-L60,수기대(깃대) 60cm,상품,GOODS,FIXED,EA,,0,70,1.67,"카테고리(상품, n=34)",1.47~1.79,100
ACC-037,유리섬유 깃대(그라스화이바),상품,GOODS,FIXED,EA,,3,0,,원가 없음(매입이력 0),,
ACC-039,계양기 로프,상품,GOODS,FIXED,EA,,2,0,,원가 없음(매입이력 0),,
ACC-041,황금봉,상품,GOODS,FIXED,EA,,0,181.32,1.67,"카테고리(상품, n=34)",1.47~1.79,300
ACC-041-AG,애기봉,상품,PRODUCT,FIXED,EA,,0,600000,1.67,"카테고리(상품, n=34)",1.47~1.79,1003200
ACC-041-GA,가로봉,상품,PRODUCT,FIXED,EA,,0,298.54,1.67,"카테고리(상품, n=34)",1.47~1.79,500
ACC-041-SU,수기봉,상품,PRODUCT,FIXED,EA,,0,100,1.67,"카테고리(상품, n=34)",1.47~1.79,200
ACC-042,국기봉/막봉,상품,GOODS,FIXED,EA,,25,0,,원가 없음(매입이력 0),,
ACC-044,멕기,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
ACC-045-12P-S,아일렛 12파이 은 (TS전용),상품,PRODUCT,FIXED,EA,,0,30000,1.67,"카테고리(상품, n=34)",1.47~1.79,50200
ACC-045-20-G,아일렛 20호 금,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
ACC-045-20-S,아일렛 20호 은,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
ACC-045-24-G,아일렛 24호 금,상품,GOODS,FIXED,EA,,4,12200,1.67,"카테고리(상품, n=34)",1.47~1.79,20400
ACC-045-5-G,아일렛 5호 금,상품,GOODS,FIXED,EA,,0,21,1.67,"카테고리(상품, n=34)",1.47~1.79,100
ACC-045-5-S,아일렛 5호 은,상품,GOODS,FIXED,EA,,4,6000,1.67,"카테고리(상품, n=34)",1.47~1.79,10000
ACC-045-9-G,아일렛 9호 금,상품,GOODS,FIXED,EA,,0,27,1.67,"카테고리(상품, n=34)",1.47~1.79,100
ACC-047-AP,큐방 압축 40파이,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
ACC-047-AP-73,큐방 압축 73파이 차량용,상품,GOODS,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
ACC-048,쌍클립,상품,GOODS,FIXED,EA,,2,36,1.67,"카테고리(상품, n=34)",1.47~1.79,100
ACC-049-CR,족자봉 원형 85~150cm,상품,GOODS,FIXED,EA,,2,1395.8333,1.67,"카테고리(상품, n=34)",1.47~1.79,2300
ACC-050-P12,삼각접착고리 판형 12파이,상품,GOODS,FIXED,EA,,1,16500,1.67,"카테고리(상품, n=34)",1.47~1.79,27600
ACC-051,우승기 부속,상품,PRODUCT,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
ACC-052,원형 받침대,상품,PRODUCT,FIXED,EA,,0,35000,1.67,"카테고리(상품, n=34)",1.47~1.79,58500
ACC-053,우승기 깃대,상품,PRODUCT,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
ACC-054,목창꽂이,상품,PRODUCT,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
ACC-054-NS,목창꽂이(창없이),상품,PRODUCT,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
ACC-JJ-CAP-CR,사각족자봉 마개 크롬,상품,GOODS,FIXED,EA,,2,100,1.67,"카테고리(상품, n=34)",1.47~1.79,200
ACC-JJ-CAP-GR,사각족자봉 마개 그레이,상품,GOODS,FIXED,EA,,1,35,1.67,"카테고리(상품, n=34)",1.47~1.79,100
ACC-JJ-HOOK,족자봉 고리,상품,GOODS,FIXED,EA,,2,25,1.67,"카테고리(상품, n=34)",1.47~1.79,100
ACC-JJ-JOINT,족자봉 연결대,상품,PRODUCT,FIXED,EA,,1,0,,원가 없음(매입이력 0),,
ACC-JJ-RCAP-SV,원형족자봉 마개 은색 16파이,상품,GOODS,FIXED,EA,,1,90,1.67,"카테고리(상품, n=34)",1.47~1.79,200
ACC-MOLD-24,자동몰드 24호,상품,PRODUCT,FIXED,EA,,1,20000,1.67,"카테고리(상품, n=34)",1.47~1.79,33400
ACC-MOLD-9,자동몰드 9호,상품,PRODUCT,FIXED,EA,,1,19000,1.67,"카테고리(상품, n=34)",1.47~1.79,31800
ACR-2T-B-48,아크릴,원자재,MATERIAL,FIXED,장,,0,0,,원가 없음(매입이력 0),,
ACR-2T-C-48,아크릴,원자재,MATERIAL,FIXED,장,,0,0,,원가 없음(매입이력 0),,
ACR-2T-W-48,아크릴,원자재,MATERIAL,FIXED,장,,0,0,,원가 없음(매입이력 0),,
ACR-3T-B-48,아크릴,원자재,MATERIAL,FIXED,장,,0,0,,원가 없음(매입이력 0),,
ACR-3T-C-48,아크릴,원자재,MATERIAL,FIXED,장,,0,0,,원가 없음(매입이력 0),,
ACR-3T-W-48,아크릴,원자재,MATERIAL,FIXED,장,,0,0,,원가 없음(매입이력 0),,
ACR-5T-B-48,아크릴,원자재,MATERIAL,FIXED,장,,0,0,,원가 없음(매입이력 0),,
ACR-5T-C-48,아크릴,원자재,MATERIAL,FIXED,장,,0,0,,원가 없음(매입이력 0),,
ACR-5T-W-48,아크릴,원자재,MATERIAL,FIXED,장,,0,0,,원가 없음(매입이력 0),,
ALM-2T-BK-48,알마이트 2T 검정,원자재,MATERIAL,FIXED,장,,0,27306.67,1.08,"카테고리(원자재, n=82)",1.02~1.16,29500
ALM-2T-S-48,알마이트,원자재,MATERIAL,FIXED,장,,2,19000,1.08,"카테고리(원자재, n=82)",1.02~1.16,20500
ALM-3T-S-48,알마이트,원자재,PRODUCT,FIXED,장,,0,0,,원가 없음(매입이력 0),,
AQ-GERILLA,게릴라 현수막,수성,PRODUCT,AREA,EA,,7,0,,AREA=㎡단가표 대상(원가 단위 부정합),,
AQ-HEADBAND,수성 머리띠,수성,PRODUCT,FIXED,EA,,3,0,,원가 없음(매입이력 0),,
AQ-KELG,수성 켈 그레이,수성,PRODUCT,AREA,EA,,0,0,,AREA=㎡단가표 대상(원가 단위 부정합),,
