품목코드	품목명	규격	폭mm	단위	매입수량	매입액	발주건	최근발주	공급처	용도(기입)
SK-243	스카시30T3*6백색			EA	5	87500	1	2026-03-30	(주)서울경금속	
SK-2446	실리콘(투명)			EA	50	86250	2	2026-06-29	(주)서울경금속	
SK-316	간판용후판1.4M(50M)			EA	1	84000	1	2026-02-09	(주)서울경금속	
SK-555	평까치발검정-250mm			EA	30	84000	1	2026-01-27	(주)서울경금속	
SGM-CSM-R300-BK	채널바 옆마구리 300mm 흑색	300mm		EA	30	83500	2	2026-06-05	(주)엘이디포유	
SGM-KPB-LB	캡바 연청색	25mm*3m		EA	40	82000	1	2026-06-05	(주)엘이디포유	
SGM-TRF-R250	트러스바 보강대 250mm	250mm		EA	200	78000	1	2026-04-10	(주)엘이디포유	
SK-1148	하드락B(적색)	적색		EA	1	76000	1	2026-04-13	(주)서울경금속	
SK-1147	하드락A(청색)	청색		EA	1	76000	1	2026-04-13	(주)서울경금속	
SGM-SRND-D800	스텐원형돌출 800Φ	800Φ		EA	1	72500	1	2026-03-27	(주)엘이디포유	
SK-2499	사각경관봉70mmPC커버3010mm			EA	10	68800	1	2026-01-22	(주)서울경금속	
SK-381	쌍클립32W			EA	2000	68000	1	2026-02-09	(주)서울경금속	
SK-1465	까치발-1100			EA	15	66450	1	2026-01-27	(주)서울경금속	
SK-1470	까치발-1900			EA	10	66100	1	2026-06-08	(주)서울경금속	
SK-1289	까치발-200			EA	30	65700	1	2026-03-03	(주)서울경금속	
MCP120-127	무광코팅지 120g-호홍	127cm 61m	1270	롤	1	65600	1	2026-05-22	(주)엘이디포유	
SK-244	스카시20T3*6백색			EA	5	65000	1	2026-03-30	(주)서울경금속	
SGM-KPB-TG	캡바 진청록	25mm*3m		EA	40	64000	1	2026-01-09	(주)엘이디포유	
SGM-KPB-MT	캡바 민트색	25mm*3m		EA	40	64000	1	2026-01-09	(주)엘이디포유	
SGM-KPB-FL	캡바 형광색	25mm*3m		EA	40	64000	1	2026-01-09	(주)엘이디포유	
SK-2277	평면경관봉70mm몸통3M			EA	3	62640	1	2026-02-26	(주)서울경금속	
SK-142	HD-012하코너			EA	150	60000	1	2026-02-02	(주)서울경금속	
SK-1356	까치발-1700			EA	10	59600	1	2026-06-29	(주)서울경금속	
SK-2404	평면경관봉100mmPC커버3M			EA	10	55000	1	2026-01-22	(주)서울경금속	
SGM-TRF-R400	트러스바 보강대 400mm	400mm		EA	100	53000	1	2026-01-09	(주)엘이디포유	
